objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6371091540984468033,864694510.995,864694578.995,64.0,53.0,292.952,62.3466,292.95249285341555,62.346812060228849,21.4653,0.534806,21.508458862712573,21.516973016587034,21.167735074369329,231.0226076423865,0.98450861866296213,0.000322395,1.6772662384672532,1.6424639516898818,0.00174707109058782,0.59436486699197155,21.279081045148605
6371091540984468032,864694510.995,864694578.995,64.0,44.0,292.946,62.3474,292.94649004372536,62.347703789717151,21.0573,0.416986,20.880335253140483,20.8866624110664,20.635233714828104,229.11144638482037,0.96882933689160711,0.000322501,1.7089680713034094,1.6706381336546754,0.00174707109058782,0.57925389579726039,20.7141038595441
6371091540984468034,864694510.995,864694578.995,64.0,50.0,292.845,62.3473,292.84474119049264,62.347306997541573,21.1305,0.422025,20.974208015235305,20.972214063883772,20.704851495668802,202.30816125634377,1.021652157870192,0.000325733,1.9232242369094725,1.9358621652281029,0.00174707109058782,0.64725326617346046,20.78768985780443
6371091541016972103,864735919.995,864735993.995,75.0,20.0,293.244,62.3949,293.24467388112765,62.393510772716297,-80.1829,-99.0,20.8268374065917,21.04170981054294,20.598486659191057,301.50193955189047,0.77222339008640928,0.000302686,1.3028673823202284,0.73729866247318998,0.00174707109058782,0.3425153470801191,20.69863523739874
6371091540983416686,864694510.995,864694578.995,64.0,36.0,293.124,62.1912,293.12427827308966,62.190853057376387,-80.1829,-99.0,21.259891653841116,21.278257141578045,20.76309239943927,272.25145638687371,0.99836879221114261,0.00033225,2.2715418796531375,2.2077219875217033,0.00174707109058782,0.72532661734613468,20.902667657183109
6371091541019068349,864735919.995,864735993.995,75.0,36.0,293.124,62.1899,293.12376679990228,62.19036322982668,20.9834,0.433344,20.722430075584285,20.79395071055081,20.465542710981229,256.252531734797,0.88531553927465723,0.000310156,2.0641799247139816,1.6662451403249792,0.00174707109058782,0.57673540059814188,20.547758438209911
6371091540983416684,864694510.995,864694578.995,64.0,54.0,292.975,62.1933,292.97546842510724,62.193508412708027,-80.1829,-99.0,22.28928563202382,22.303047092264617,21.650754469782839,232.01188578958551,1.004660904994493,0.000333203,1.7983056411609526,1.7704527474560658,0.00174707109058782,0.59688336219109006,21.827077608090164
6371091541019068369,864735919.995,864735993.995,75.0,45.0,292.976,62.1928,292.97605325779222,62.192832134423774,21.5516,0.552907,21.239954583936189,21.29105576767201,20.944193633648553,215.11392942078027,0.94325061630545859,0.000309732,1.7395644148525062,1.5168454657914225,0.00174707109058782,0.49362505902723058,21.031895485657479
6371091540983416740,864694510.995,864694578.995,64.0,28.0,293.068,62.1999,293.06829647216279,62.199323670921103,-80.1829,-99.0,20.99617211333835,20.995363216029922,20.524939362324226,257.54974022565045,1.0317647892410424,0.000330978,2.0476432379360938,2.0504552685592445,0.00174707109058782,0.58429088619549741,20.639735729621073
6371091541018022340,864735919.995,864735993.995,75.0,43.0,293.078,62.2006,293.07843005832655,62.20076364720893,21.2237,0.470685,20.975253704474198,21.046528332045401,20.721954800099375,242.92808790970705,0.93867217610384412,0.000309838,1.9274208789970388,1.5521017807708262,0.00174707109058782,0.56162442940343071,20.806945424922731
