objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area
6384919063672393568,844425942.995,844426003.995,62.0,56.862971393604525,23.882,-72.029,23.884459113950001,-72.029693956700001,-80.1829,-99.0,22.778353080706275,23.270500077643511,22.23265604400655,179.79215628620881,0.81799056673343618,0.000251293,1.5101371851142971,0.96920710437906632,0.00174707109058782
6384919063638839215,840787412.995,840787492.995,80.0,76.23729127052529,23.8833,-72.0277,23.884716920075,-72.028265754800003,-80.1829,-99.0,22.183913334591704,22.495013438518239,21.801859313142387,169.41598952989335,0.81856442631537674,0.000245624,2.3080695100310913,1.4509475899145872,0.00174707109058782
6384919063672393562,844425942.995,844426003.995,62.0,56.862971393604525,23.8334,-72.0294,23.8323620707,-72.029847678250007,-80.1829,-99.0,22.654471812407067,23.11322788432215,22.147922621243495,173.98901842615936,0.75407615587184795,0.000251611,1.5622503234581713,0.98896218015669846,0.0017409246133863676
6384919063638839206,840787412.995,840787492.995,80.0,76.23729127052529,23.8415,-72.029,23.841244093133337,-72.028622495033332,-80.1829,-99.0,22.599460029051777,23.072730284088262,22.099196703549971,165.32311108868893,0.80715903755520302,0.000245677,2.2022225048649511,1.3732365937653954,0.00174707109058782
6384919063640935731,840787412.995,840787492.995,80.0,77.245994796938746,23.4304,-72.1007,23.430600120227112,-72.100856194173105,15.7158,0.0303345,15.712092795381499,15.715048236016052,15.710441375865294,99.273431013558451,0.90498134534588515,0.000244882,5.7340184055638126,2.0582696529649707,0.0016398821688589779
6384919063674490293,844425942.995,844426003.995,62.0,56.858503267846316,23.4305,-72.1005,23.431149807088566,-72.100570081460077,15.783,0.0358239,15.763512685300078,15.766561781148287,15.761532790420269,105.97675765754596,0.85420902067108628,0.000251611,4.3947422816316477,1.7326235010032951,0.0016392746996776995
6384919063672393602,844425942.995,844426003.995,62.0,56.853252506318029,23.8004,-72.0203,23.799947560950002,-72.020156301149996,-80.1829,-99.0,22.620747155714625,23.232578563050179,22.110844517338851,176.20368564171821,0.72922406253814165,0.000252088,1.7675949234730881,1.0284513861088815,0.00174707109058782
6384919063640936437,840787412.995,840787492.995,80.0,76.251754012414594,23.8052,-72.0153,23.806820986872722,-72.015527779063646,20.6495,0.335701,20.729101526726108,20.80698307452754,20.625240540936009,168.98630393507585,0.76128075239745208,0.000246101,2.2286624170225218,1.319092103641694,0.00174707109058782
6384919063672393616,844425942.995,844426003.995,62.0,56.867773452081579,23.8056,-72.0152,23.804764300749998,-72.015251202033326,-80.1829,-99.0,21.105748853167484,21.205076385340245,20.963199663839308,179.05302385169225,0.76049578843095667,0.000252141,1.5775330692992287,0.97191623341521527,0.00174707109058782
6384919063674490683,844425942.995,844426003.995,62.0,56.858536464173135,23.7297,-72.0272,23.730839236531033,-72.02715430030689,19.4221,0.198317,19.382710856811368,19.400102854039197,19.347008612387576,165.93458292507626,0.83003939862158516,0.000252088,1.6700895477801547,1.1319898905384798,0.0017384832287993203
6384919063640936348,840787412.995,840787492.995,80.0,76.275732037058845,23.7305,-72.0271,23.729138961453334,-72.027021624059984,19.633,0.199904,19.666951359580906,19.687087159929572,19.629822301728939,156.26054658321218,0.82978394588019466,0.000245942,1.8587402314385597,1.2163048062680064,0.0017392188451472619
6384919063672393573,844425942.995,844426003.995,62.0,56.863128703650055,23.496,-72.0287,23.495978261000001,-72.028238528549991,-80.1829,-99.0,23.08295538766707,23.71012001902367,22.293979470939259,151.34963475406195,0.86272481304425597,0.000251293,1.689478757408444,1.1975591527113889,0.00174707109058782
6384919063674490728,844425942.995,844426003.995,62.0,56.863128703650055,23.5103,-72.027,23.510540365142855,-72.026958173057139,21.2633,0.52027,21.150100804261875,21.224618712743837,20.97319835259054,151.36882534219575,0.89792720353949851,0.000251558,1.6177573163164336,1.1766863996031465,0.00174707109058782
6384919063640936362,840787412.995,840787492.995,80.0,76.271238198482564,23.5104,-72.0269,23.510562194626665,-72.026807163246673,20.4431,0.30432,20.438856922356589,20.482883209926126,20.349860530113823,145.07777315799652,0.80565175728253835,0.0002443,2.1492405030366815,1.4668542484262068,0.00174707109058782
6384919063640936496,840787412.995,840787492.995,80.0,76.252004838297339,23.7598,-72.0017,23.76059064224,-72.001982874690015,20.8261,0.383048,20.854845105913142,20.93804219838335,20.760418281811063,172.78858794318015,0.78448293652896872,0.000246101,1.9267284004425866,1.0634241430111122,0.0017371013629849644
6384919063672393663,844425942.995,844426003.995,62.0,56.858690471051375,23.7601,-72.0017,23.761832235060002,-72.00198345826,-80.1829,-99.0,21.384956690083559,21.540831445073394,21.196486212331685,181.63094587972881,0.78506926029745761,0.000252671,1.7314969298013736,1.0152486404857324,0.001738064427668983
6384919063638839371,840787412.995,840787492.995,80.0,76.247191472212037,23.6807,-71.998,23.68279582996,-71.997935024260002,-80.1829,-99.0,21.768089029033721,21.938371101751837,21.545468184176457,170.03570098377151,0.80730623320541783,0.000245783,1.8809794713578953,1.1484561655796046,0.0016866489863697634
6384919063640936508,840787412.995,840787492.995,80.0,76.247191472212037,23.6886,-72.0,23.687588191828571,-72.000116569371428,21.2312,0.462944,21.303897545548931,21.425568086335872,21.156579251181814,168.63761512536186,0.7902151511762705,0.000245889,1.94497686865518,1.1245893110432954,0.0016968335403199448
6384919063674490799,844425942.995,844426003.995,62.0,56.858075518484192,23.6861,-71.9998,23.689276615233329,-71.999919176083324,20.8178,0.420555,21.182439995337877,21.300671914026783,21.012015740122486,178.14373069838061,0.79492347049125234,0.000253095,1.7627448290498264,1.096866696788328,0.0016892568377161001
6384919063672393735,844425942.995,844426003.995,62.0,56.858163262776991,23.8687,-71.9854,23.866669923700002,-71.986401973499994,-80.1829,-99.0,25.727241399041162,nan,22.982127575570988,198.62750727232242,0.81293945878909923,0.000252194,2.013440780706389,1.1319525540141093,0.0017327610523289272
6384919063638839417,840787412.995,840787492.995,80.0,76.237427529009139,23.8686,-71.9861,23.868864705225,-71.986061829025004,-80.1829,-99.0,21.983571833697248,22.310255371701899,21.689788845846664,189.91586065895586,0.7386471737219904,0.000246048,2.3607340698222017,1.2856492393622714,0.0017328971393491363
6384919063640936329,840787412.995,840787492.995,80.0,76.261620499282358,23.9427,-72.0062,23.943375452681558,-72.006210355696112,16.8458,0.055751,16.848161526816202,16.850831788218674,16.844844366053366,186.40138952870663,0.76230220090015,0.000245624,2.5863477006737723,1.4346541517902838,0.0017211864582466301
6384919063674490760,844425942.995,844426003.995,62.0,56.863062452784014,23.9429,-72.0061,23.943620912496289,-72.005979874330848,16.829,0.0592477,16.804007529685151,16.806550753256527,16.800553288447336,197.55256524366754,0.80817795069854548,0.000251399,2.0121176833166836,1.1602367295729965,0.0017202131285297495
6384919063674490958,844425942.995,844426003.995,62.0,56.829100312124851,23.8577,-71.9672,23.857214840696667,-71.966872712676675,19.3217,0.199467,19.239587343807909,19.263928291552624,19.208582784583033,209.22887772648747,0.75548337322922998,0.000252459,1.9745750041659809,1.1185431761220954,0.0017089701820348013
6384919063640936648,840787412.995,840787492.995,80.0,76.2568378777014,23.8574,-71.9671,23.857584502515618,-71.967166224550013,19.558,0.202641,19.473049492021918,19.502356099911648,19.441381256112106,199.10342741406811,0.74487445092658899,0.000245889,2.3497127240668321,1.2368231033112425,0.0017089823273939517
6384919063638839569,840787412.995,840787492.995,80.0,76.280748384372487,23.8896,-71.9544,23.891394587099999,-71.955018637099997,-80.1829,-99.0,24.531804877453936,nan,23.108737406262033,209.35300081873038,0.68089479968842193,0.000245359,2.1952374349971713,1.0726576563281844,0.00174707109058782
6384919063638839556,840787412.995,840787492.995,80.0,76.280748384372487,23.8923,-71.9571,23.892046061650003,-71.957307133450001,-80.1829,-99.0,21.940148473932027,22.278020640343613,21.691777948678205,206.97151215872569,0.73857502898197114,0.000245465,2.2598066437627771,1.1075208946027648,0.00174707109058782
6384919063674491019,844425942.995,844426003.995,62.0,56.848561134385228,23.8913,-71.957,23.892139443550004,-71.95678902585,21.0761,0.490842,21.099661252042431,21.252860153162352,20.946276005886162,217.48042796433043,0.74913798833297063,0.000252565,1.9731473620086526,1.0567016517993331,0.00174707109058782
6384919063638839621,840787412.995,840787492.995,80.0,76.27599891818646,23.9677,-71.9436,23.966675959149999,-71.944087852124994,-80.1829,-99.0,21.931587154645449,22.272294497941122,21.675555113264089,220.47055944692121,0.72839368771905122,0.000245147,2.3245076170980705,1.1548757177007094,0.00174707109058782
6384919063638835654,840787412.995,840787492.995,80.0,76.252008148941471,22.9758,-72.7193,22.97525907855556,-72.719281928011128,-80.1829,-99.0,21.659658054206115,21.748326006453322,21.170323722330142,282.23838423346308,1.0290042423230992,0.000355933,3.6127918145434808,3.1754535152320513,0.0017140237996876003
6384919063673443445,844425942.995,844426003.995,62.0,56.863292202319009,22.9722,-72.7189,22.972392837925,-72.718862172962503,21.3991,0.511168,21.327038132723995,21.364511805998042,20.941503069666691,274.20240694549472,0.99518406675609539,0.000370555,2.6001437038832629,2.4084775117268626,0.0017140100876843936
6384919063638835740,840787412.995,840787492.995,80.0,77.246080234965902,23.0335,-72.6938,23.032756873600004,-72.69368080098333,-80.1829,-99.0,22.63391701936068,nan,21.53536384398215,264.4873250609881,0.94815393735622655,0.000342634,6.6876119817729496,4.0316876198559388,0.0016946373506760391
