,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
1223,3057,156.454190427_68.0072209836,FUV,128488,882436783.995,882438486.995,3651630.0,128488.0,1684.98500001,0.0122527640299
1224,3067,263.654963705_79.4749642697,FUV,28054,846661168.995,846661543.995,1295091.0,28054.0,281.985000014,0.01973472
1225,3077,314.167019371_76.3061535038,FUV,7989,877190294.995,877190401.995,443377.0,7989.0,101.995000005,0.0236783444593
1226,3087,189.816284335_64.9977095294,FUV,9288,759098438.995,759098561.995,235523.0,9288.0,117.995000005,0.0109418350755
1227,3097,304.154106565_73.1328962053,FUV,105184,841915981.995,841917396.995,7016682.0,105184.0,1070.94000006,0.0283359192327
1228,3107,192.484460585_86.5664108966,FUV,17575,846720331.995,846720565.995,683569.0,17575.0,198.995000005,0.0166927716728
1229,3205,311.287012115_77.2618236699,FUV,22135,907917076.995,907917373.995,1216357.0,22135.0,296.0,0.0234027320827
1230,3323,145.44057926_83.7499302827,FUV,8089,855672603.995,855672711.995,364727.0,8089.0,108.0,0.0192977248677
1231,3117,211.812239842_53.9257703409,FUV,107880,925487101.995,925488527.995,2391665.0,107880.0,1364.46999991,0.00958391103987
1232,3333,335.00153493_73.5288852218,FUV,7844,846649603.995,846649711.995,918637.0,7844.0,108.0,0.0486051322751
1233,3219,240.162763932_55.7551373794,FUV,88346,899676639.995,899677816.995,3273754.0,88346.0,1177.0,0.0158939385848
1234,3127,72.065561908_54.4782802835,FUV,8224,819698875.995,819698989.995,1072515.0,8224.0,113.0,0.0537601503759
1235,3343,202.136853168_87.4623557723,FUV,8230,851074767.995,851074877.995,430347.0,8230.0,98.4850000143,0.0223556883117
1236,3215,240.162763932_55.7551373794,FUV,95860,894837043.995,894838312.995,2512442.0,95860.0,1269.0,0.0113134841833
1237,3229,357.372314519_87.1318020851,FUV,22406,886200769.995,886201069.995,1082262.0,22406.0,240.985000014,0.0206145142857
1238,3353,99.7920377217_55.404480058,FUV,7570,852293812.995,852293913.995,309542.0,7570.0,100.0,0.0175129844413
1239,3239,201.941551844_56.708050656,FUV,8326,793960650.995,793960760.995,173306.0,8326.0,90.9989999533,0.00900290909091
1240,3363,215.90652401_84.6106441698,FUV,9090,754434838.995,754434959.995,341392.0,9090.0,121.0,0.0161224085006
1241,3137,209.530791484_62.3078660844,FUV,81793,886998223.995,886999306.995,2000562.0,81793.0,854.410000086,0.0105556628413
1242,3147,95.0895519158_82.7168825115,FUV,7877,851259449.995,851259554.995,310881.0,7877.0,104.0,0.0169186938776
